REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Enterprise size,Advanced technology acquisition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,Cl,c,STATUS,DEx
2009,Canada,2016A000011124,Utilities [22,Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736972,1.7.3.5,37.8,E,1
2009,Canada,2016A000011124,Utilities [22,Medium-sized enterprises (100 to 249 employees),Merger or acquisition,Percent,239,units,0,v80736973,1.7.3.6,0.0,A,1
2009,Canada,2016A000011124,Utilities [22,Large enterprises (250 and more employees),Purchase,Percent,239,units,0,v80736974,1.7.4.1,66.0,E,1
2009,Canada,2016A000011124,Utilities [22,Large enterprises (250 and more employees),Lease,Percent,239,units,0,v80736975,1.7.4.2,39.6,E,1
2009,Canada,2016A000011124,Utilities [22,Large enterprises (250 and more employees),License,Percent,239,units,0,v80736976,1.7.4.3,39.6,E,1
2009,Canada,2016A000011124,Utilities [22,Large enterprises (250 and more employees),Customize,Percent,239,units,0,v80736977,1.7.4.4,39.6,E,1
2009,Canada,2016A000011124,Utilities [22,Large enterprises (250 and more employees),Develop,Percent,239,units,0,v80736978,1.7.4.5,60.4,E,1
2009,Canada,2016A000011124,Utilities [22,Large enterprises (250 and more employees),Merger or acquisition,Percent,239,units,0,v80736979,1.7.4.6,0.0,A,1
2009,Canada,2016A000011124,"Electric power generation, transmission and distribution [2211",Total enterprises,Purchase,Percent,239,units,0,v80736980,1.8.1.1,76.1,B,1
2009,Canada,2016A000011124,"Electric power generation, transmission and distribution [2211",Total enterprises,Lease,Percent,239,units,0,v80736981,1.8.1.2,19.5,B,1
2009,Canada,2016A000011124,"Electric power generation, transmission and distribution [2211",Total enterprises,License,Percent,239,units,0,v80736982,1.8.1.3,23.5,B,1
